,nickname,title,genre,content,age
0,sayradio,현세이의 보이는 라디오,"드라마,일상",스트리머 현세이의 일상 소통 이야기,0
1,kangho,강호표사,"무협,액션",칼퇴를 꿈꾸는 속물 표사 무영! 하지만 사부님의 희망사항은? '협객이 되어라!',0
2,notlover,사귄 건 아닌데,"순정,드라마","스무 살, 이루지 못했던 첫사랑과 스물아홉에 다시 만났다. 이번엔 그 때와 다를 수 있을까?",0
3,onlyone,하나밖에 안 보여!,"순정,학원",햇살 같은 하나와 음침 미소년 창욱이의 친구 만들기 프로젝트!,0
4,MEMORIST,메모리스트,"미스터리,스릴러",기억을 읽는 초능력 형사 '동백'. 미스터리한 연쇄 살인사건을 맞닥뜨리다!,0
5,TrashStudent,쓰레기 머학생,"일상,학원",다소 쓰레기 같은 대학생 작가의 일상을 다룬 만화. 수학을 싫어합니다.,0
6,urumchi,어름치,"코믹,드라마",강원도 산골에서 펼쳐지는 뜨거운 노동 이야기,0
7,foodghost,식귀,"액션,판타지",원호는 지하철에서 의문의 남성과 마주친 후 식귀가 된다.,0
8,noticingOutsider,아싸가 알아버렸다,"학원,코믹",학교가 싫은 아싸 두봉과 학교가 너무 좋은 인싸 윤정의 이야기!,0
9,actionpreschool,찬란한 액션 유치원,"코믹,액션",찬란하지만 결코 유치하지 않은 아이들의 우정과 평화의 유년 드라마 (※본격교육웹툰),0
10,steelrain3,정상회담 : 스틸레인3,"드라마,액션",정상회담을 위해 한자리에 모인 남북미 3인의 정상들. 예상치 못한 위기에 빠진다.,0
11,blackcow,흑우,"스릴러,드라마","탐욕을 향한 호구들의 몸부림, 그리고 펼쳐지는 대 주식사기극",0
12,drawinganoval,타원을 그리는 법,"드라마,미스터리","너무 다른 두 사람의 연애 3년, 민성의 비밀은 두 사람을 예기치 못 한 사건에 휘말리게 한다.",15
13,professor,교수님을 빚는 중,"순정,드라마","내가 가르치는 보컬수업에, 우리 과 교수님이 수강생으로 들어왔다.",0
14,birdphobia,조류공포증,"스릴러,공포",조류공포증이 있는 철민이 돌연변이 새들과 하르퓌아로부터 가족을 지키는 이야기,15
15,notstopping,이대로 멈출 순 없다,"코믹,학원"," 사상 최악의 막장 쓰레기 문제아 학교, 정문여상에서 살아남기!",15
16,deadmanletter,망자의 서,미스터리,죽은 남편의 편지가 도착했다.,0
17,gratia,그라티아,"판타지,액션",엑소시스트가 되고자 하는 소녀의 이야기,0
18,goodbyeinlaw,굿바이 사돈!,"순정,드라마",사돈 사이가 된 원수지간 남녀. 때마침 모든 걸 되돌릴 수 있는 기회가 눈앞에 찾아오는데!,0
19,Reseter,리세터,"스릴러,성인",행복해지기 위해 환생을 반복하는 남자의 이야기,19
20,workinstinct,노동본색,"액션,판타지",망해버린 세상. 이제는 3D 업종의 전성시대가 되었다.,15
21,RTX,집행자여,"스릴러,드라마",통금시대. 어둠 속에서 고삐 풀린 그들,0
22,nrnewworld,NR 뉴월드,"액션,판타지","SF액션 활극, 쑈오리 라마가 세상을 바꾸려한다!〈NR 월드〉그 이후의 이야기",15
23,impulsebuyer,일단 질러! 질렐루야,"코믹,일상",소소한 생활지름의 세계로 오라~ ,0
24,trace2,트레이스,"판타지,액션","트레이스, 트러블, 인간.. 그들의 생존을 건 싸움",0
